word,frequency
the,275
invention,1
that,67
could,13
end,1
obesity,6
a,122
michigan,4
surgeon,6
invented,1
an,19
apparatus,1
he,39
believes,2
tricks,1
brain,6
into,3
thinking,4
stomach,17
is,59
full,29
his,24
sense,24
device,53
be,24
lifesaver,1
for,48
millions,2
of,114
obese,10
americans,4
and,144
raises,1
questions,3
about,16
how,11
hunger,4
our,4
most,7
basic,1
human,2
impulse,1
even,7
works,5
bonnie,2
lauria,6
was,32
miserable,1
she,31
subsisting,1
on,28
liquids,2
handful,1
foods,3
her,25
handle,1
ever,5
since,5
shed,2
undergone,1
gastric,10
bypass,6
surgery,21
in,91
80s,1
like,14
meat,1
bread,1
went,3
down,7
throat,1
lump,1
would,14
come,3
right,5
back,9
up,13
i,42
knew,3
where,8
every,6
bathroom,1
restaurant,3
state,1
says,55
from,15
home,3
west,1
branch,1
it,57
horrendous,1
during,1
reduced,1
to,133
size,3
walnut,1
attached,1
middle,1
small,6
intestine,2
laurias,4
complications,1
werent,1
normal,2
so,13
under,1
knife,1
second,3
time,5
still,8
condition,2
didnt,8
change,1
switched,1
doctors,8
several,2
times,3
but,31
no,11
one,15
help,3
eventually,2
someone,4
recommended,2
bariatric,17
dr,7
randy,7
baker,50
grand,8
rapids,5
2004,2
ran,2
some,10
tests,1
saw,1
spot,2
walnutsize,1
pouch,2
met,3
bowel,2
tightening,1
previous,2
had,19
tried,3
widen,1
passage,1
food,13
pass,1
through,5
stricture,1
returned,1
complicating,1
were,12
those,9
multiple,1
surgeries,7
which,16
left,2
much,8
scar,1
tissue,1
operating,2
again,4
too,8
difficult,1
dangerous,1
at,26
loss,14
then,8
started,4
esophageal,3
stents,1
just,13
coronary,1
stent,6
keeps,1
artery,1
open,3
holds,2
esophagus,3
often,6
used,4
patients,29
who,15
have,23
difficulty,1
swallowing,1
what,14
if,21
prop,1
as,29
far,2
attempted,1
procedure,3
before,4
out,11
options,1
told,4
strategy,1
agreed,1
inserted,3
hoped,1
best,4
came,3
my,11
